Unnamed: 0,stock,Unnamed: 2,Unnamed: 3,Unnamed: 4,salon,наименование,Кол-во,паспорт
Остаток,,,Кол-во,паспорт,Салон 40 лет Октября,,,
,,,,,Салон Васенко,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2.0,2.0
,,,,,Салон Васенко,(детские) (металл),2.0,2.0
,,,,,Салон Васенко,(детские) (пластик) (36-41),2.0,3.0
,,,,,Салон Васенко,(детские) (пластик) (42-45),11.0,10.0
,,,,,Салон Васенко,(детские) (пластик) (46-49),12.0,8.0
,,,,,Салон Васенко,(детские/подростковые) (OU/SCOUT),10.0,8.0
,,,,,Салон Васенко,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,6.0,6.0
,,,,,Салон Васенко,(детские/подростковые) (VERSO),6.0,6.0
,,,,,Салон Васенко,(подростковые) (металл для девочек),7.0,8.0
,,,,,Салон Васенко,(подростковые) (металл для мальчиков/универс),12.0,15.0
,,,,,Салон Васенко,(подростковые) (пластик для девочек),13.0,8.0
,,,,,Салон Васенко,(подростковые) (пластик для мальчиков/универс),23.0,14.0
,,,,,Салон Васенко,1(0-1490) (МЕТАЛЛ) (Ж),12.0,12.0
,,,,,Салон Васенко,1(0-1490) (МЕТАЛЛ) (М),12.0,12.0
,,,,,Салон Васенко,1(0-1490) (ПЛАСТИК) (Ж),10.0,10.0
,,,,,Салон Васенко,1(0-1490) (ПЛАСТИК) (М),8.0,8.0
,,,,,Салон Васенко,2(1590-3990) (DACKOR) (ж),7.0,7.0
,,,,,Салон Васенко,2(1590-3990) (DACKOR) (металл) (м),17.0,17.0
,,,,,Салон Васенко,2(1590-3990) (DACKOR) (пластик) (м),7.0,7.0
,,,,,Салон Васенко,2(1590-3990) (GENEX) (ж),10.0,10.0
,,,,,Салон Васенко,2(1590-3990) (GENEX) (м),10.0,10.0
,,,,,Салон Васенко,2(1590-3990) (ISABELLE) (пластик) (ж),7.0,7.0
,,,,,Салон Васенко,2(1590-3990) (NIKITANA) (ж),17.0,17.0
