article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
310-0703,CHOPARD,мужские,пластик,ободковая,прямоугольные,,57.0,15.0,145.0,,,оптика,,L_L_S,
310-0821,CHOPARD,мужские,пластик,ободковая,прямоугольные,синий,57.0,15.0,145.0,,,оптика,прямоугольные_пластик_синий,L_L_S,прямоугольные_пластик_синий_L_L_S
31002-1,DACCHI,мужские,металл,безободковая,прямоугольные,серебристый,53.0,19.0,135.0,,,оптика,прямоугольные_металл_серебристый,M_L_L,прямоугольные_металл_серебристый_M_L_L
3101-01,BANISS,подростковые для мальчиков,металл,ободковая,трапеция,черный,48.0,17.0,130.0,,,оптика,трапеция_металл_черный,S_M_M,трапеция_металл_черный_S_M_M
3101-2,ROLLES,женские,металл,ободковая,бабочка,бордовый,54.0,16.0,140.0,,,оптика,бабочка_металл_бордовый,M_L_M,бабочка_металл_бордовый_M_L_M
3101-717,LIU JO,подростковые для девочек,металл,ободковая,панто,,49.0,20.0,135.0,,,оптика,,M_M_L,
3103-045,LIU JO,подростковые для девочек,металл,ободковая,панто,синий/серебристый,48.0,18.0,135.0,,,оптика,панто_металл_синий/серебристый,M_M_L,панто_металл_синий/серебристый_M_M_L
3103-714,LIU JO,подростковые для девочек,металл,ободковая,панто,розовый,48.0,18.0,135.0,,,оптика,панто_металл_розовый,M_M_L,панто_металл_розовый_M_M_L
31030-8840,JAGUAR,мужские,пластик,ободковая,квадратные,черный,56.0,15.0,145.0,,,оптика,квадратные_пластик_черный,L_L_S,квадратные_пластик_черный_L_L_S
31044-2,DACCHI,мужские,металл,безободковая,прямоугольные,темно-серый,53.0,17.0,145.0,,,оптика,прямоугольные_металл_темно-серый,L_L_M,прямоугольные_металл_темно-серый_L_L_M
3107-2,CHOICE,подростковые для мальчиков,металл,ободковая,прямоугольные,,50.0,15.0,125.0,,,оптика,,S_M_S,
3110-3,POLY,женские,металл,ободковая,бабочка,,55.0,19.0,140.0,,,оптика,,M_L_L,
3110-5,POLY,женские,металл,ободковая,бабочка,,55.0,19.0,140.0,,,оптика,,M_L_L,
3111-1,POLY,женские,металл,ободковая,бабочка,черный/золотой,56.0,17.0,140.0,,,оптика,бабочка_металл_черный/золотой,M_L_M,бабочка_металл_черный/золотой_M_L_M
3111-3,POLY,женские,металл,ободковая,бабочка,,56.0,17.0,140.0,,,оптика,,M_L_M,
3111-5,POLY,женские,металл,ободковая,бабочка,зеленый,56.0,17.0,140.0,,,оптика,бабочка_металл_зеленый,M_L_M,бабочка_металл_зеленый_M_L_M
3112-BG-NVY,MATSUDA,женские,титан,ободковая,кошачий глаз,синий/золотой,49.0,20.0,145.0,,,оптика,кошачий глаз_титан_синий/золотой,L_M_L,кошачий глаз_титан_синий/золотой_L_M_L
31152-2,DACCHI,универсальные,металл,ободковая,круглые,черный/серебристый,49.0,20.0,135.0,,,оптика,круглые_металл_черный/серебристый,M_M_L,круглые_металл_черный/серебристый_M_M_L
31167-1,VALENCIA,мужские,металл,полуободковая,квадратные,золотой,53.0,17.0,140.0,,,оптика,квадратные_металл_золотой,M_L_M,квадратные_металл_золотой_M_L_M
31167-4,VALENCIA,мужские,металл,полуободковая,квадратные,,53.0,17.0,140.0,,,оптика,,M_L_M,
31175-5,VALENCIA,мужские,металл,полуободковая,квадратные,,56.0,18.0,145.0,,,оптика,,L_L_L,
3123-1,ROLLES,женские,металл,полуободковая,бабочка,бежевый,53.0,17.0,140.0,,,оптика,бабочка_металл_бежевый,M_L_M,бабочка_металл_бежевый_M_L_M
3123-2,ROLLES,женские,металл,полуободковая,бабочка,черный/золотой,53.0,17.0,140.0,,,оптика,бабочка_металл_черный/золотой,M_L_M,бабочка_металл_черный/золотой_M_L_M
31263-1,DACCHI,универсальные,металл,ободковая,панто,черный,50.0,20.0,140.0,,,оптика,панто_металл_черный,M_M_L,панто_металл_черный_M_M_L
31264-2,VELA,мужские,металл,ободковая,прямоугольные,,60.0,18.0,145.0,,,оптика,,L_L_L,
313-0700,CHOPARD,мужские,пластик,ободковая,квадратные,черный,53.0,19.0,145.0,,,оптика,квадратные_пластик_черный,L_L_L,квадратные_пластик_черный_L_L_L
