article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
622-009,GENEX,женские,металл,ободковая,бабочка,коричневый/золотой,59.0,17.0,145.0,,,солнцезащитные,бабочка_металл_коричневый/золотой,L_L_M,бабочка_металл_коричневый/золотой_L_L_M
622-088,GENEX,женские,металл,ободковая,бабочка,многоцветный,59.0,17.0,145.0,,,солнцезащитные,бабочка_металл_многоцветный,L_L_M,бабочка_металл_многоцветный_L_L_M
622-594Y,FURLA,женские,пластик,ободковая,бабочка,красный,57.0,18.0,135.0,,,солнцезащитные,бабочка_пластик_красный,M_L_L,бабочка_пластик_красный_M_L_L
623-001,GENEX,женские,металл,ободковая,бабочка,черный/золотой,59.0,17.0,145.0,,,солнцезащитные,бабочка_металл_черный/золотой,L_L_M,бабочка_металл_черный/золотой_L_L_M
623-0300,FURLA,женские,металл,ободковая,квадратные,черный/золотой,57.0,16.0,135.0,,,солнцезащитные,квадратные_металл_черный/золотой,M_L_M,квадратные_металл_черный/золотой_M_L_M
623-082,GENEX,женские,металл,ободковая,бабочка,синий/серебристый,59.0,17.0,145.0,,,солнцезащитные,бабочка_металл_синий/серебристый,L_L_M,бабочка_металл_синий/серебристый_L_L_M
624-005,GENEX,мужские,пластик,ободковая,квадратные,коричневый,57.0,18.0,148.0,,,солнцезащитные,квадратные_пластик_коричневый,L_L_L,квадратные_пластик_коричневый_L_L_L
624-575,GENEX,мужские,пластик,ободковая,квадратные,черный,57.0,18.0,148.0,,,солнцезащитные,квадратные_пластик_черный,L_L_L,квадратные_пластик_черный_L_L_L
625-002,GENEX,мужские,пластик,ободковая,трапеция,черный,57.0,15.0,142.0,,,солнцезащитные,трапеция_пластик_черный,M_L_S,трапеция_пластик_черный_M_L_S
626-003,GENEX,мужские,пластик,ободковая,спортивные,темно-серый,64.0,16.0,126.0,,,солнцезащитные,спортивные_пластик_темно-серый,S_L_M,спортивные_пластик_темно-серый_S_L_M
626-024,GENEX,мужские,пластик,ободковая,спортивные,черный,64.0,16.0,126.0,,,солнцезащитные,спортивные_пластик_черный,S_L_M,спортивные_пластик_черный_S_L_M
627-0300,FURLA,женские,металл,ободковая,панто,золотой,57.0,17.0,140.0,,,солнцезащитные,панто_металл_золотой,M_L_M,панто_металл_золотой_M_L_M
627-0A93,FURLA,женские,металл,ободковая,панто,золотой,57.0,17.0,140.0,,,солнцезащитные,панто_металл_золотой,M_L_M,панто_металл_золотой_M_L_M
629-0A39,FURLA,женские,металл,безободковая,бабочка,сиреневый,61.0,14.0,140.0,,,солнцезащитные,бабочка_металл_сиреневый,M_L_S,бабочка_металл_сиреневый_M_L_S
629-300X,FURLA,женские,металл,безободковая,бабочка,золотой,61.0,14.0,140.0,,,солнцезащитные,бабочка_металл_золотой,M_L_S,бабочка_металл_золотой_M_L_S
